,folder,Model,GenderSelf,Feminine,Attractive,LL,LL_F,LL_M,dist_centre_F,dist_centre_H,dist_centre
102,CFD,AM-247,M,1.666666667,2.375,-274.2125173869467,,-319.5476354753449,462.7684020996094,290.28668212890625,125.15465545654297
103,CFD,AM-248,M,1.538461538,2.846153846,-271.1240193644997,,-310.0025161563975,916.6845703125,209.86685180664062,529.8372802734375
104,CFD,AM-249,M,1.791666667,2.541666667,-322.28850060191974,,-324.46469422279824,591.3515014648438,163.3762664794922,214.08929443359375
105,CFD,AM-250,M,2.038461538,3.076923077,-271.7337990195299,,-359.627864219264,128.9908447265625,746.3734741210938,426.2170715332031
106,CFD,AM-251,M,1.153846154,2.461538462,-354.6826057585253,,-307.3530762325316,540.398681640625,236.3987579345703,191.78494262695312
107,CFD,AM-252,M,1.92,2.64,-279.0008755756271,,-340.9286760515295,449.50579833984375,354.3501892089844,177.69691467285156
108,CFD,AM-253,M,1.586206897,3.862068966,-356.72734685041354,,-299.5819290751691,120.32252502441406,654.8695068359375,334.2820129394531
109,CFD,BF-001,F,3.887640449,2.730337079,-283.308951892299,-301.2684469147207,,510.26495361328125,230.8050079345703,141.61302185058594
110,CFD,BF-002,F,5.397849462,4.892473118,-292.1931361864802,-339.09407333607464,,581.4713134765625,157.26145935058594,200.48171997070312
111,CFD,BF-003,F,4.191011236,3.191011236,-464.14063817520065,-638.9157546535133,,705.7642211914062,57.882442474365234,319.5632019042969
112,CFD,BF-004,F,3.744444444,2.711111111,-312.91672439688676,-340.35319800520796,,698.787109375,124.53892517089844,321.250244140625
113,CFD,BF-005,F,4.791208791,4.076923077,-318.1366845664496,-364.3977210845865,,615.5465698242188,124.27533721923828,233.19635009765625
114,CFD,BF-006,F,4.532608696,3.380434783,-345.62589115513686,-361.4504692413684,,191.70794677734375,833.4617919921875,515.364013671875
115,CFD,BF-007,F,3.197802198,1.769230769,-375.4574605895741,-444.55922107773563,,150.3487548828125,606.3223266601562,284.9727478027344
116,CFD,BF-008,F,3.988505747,3.068965517,-319.2251302413347,-421.6473684831469,,189.57516479492188,848.8457641601562,528.1656494140625
117,CFD,BF-009,F,3.795698925,2.77173913,-293.12154996601805,-357.81082648085805,,702.5563354492188,81.90435791015625,318.0004577636719
118,CFD,BF-010,F,4.1,2.722222222,-289.0712056559923,-310.78838962974646,,717.4932861328125,97.96742248535156,336.86285400390625
119,CFD,BF-011,F,4.054945055,2.989247312,-317.4331565500057,-377.1705478684842,,337.3117980957031,592.5428466796875,333.0225830078125
120,CFD,BF-012,F,3.290322581,2.161290323,-280.4389768374044,-313.6482097389982,,555.0077514648438,184.05419921875,178.11514282226562
121,CFD,BF-013,F,5.466666667,4.777777778,-276.65374799105416,-282.5072193881194,,758.9136352539062,155.08920288085938,383.5960388183594
122,CFD,BF-014,F,3.802325581,2.406976744,-276.50138882630154,-299.48934547577323,,452.27508544921875,1152.3726806640625,828.835205078125
123,CFD,BF-015,F,4.690721649,3.721649485,-311.60737725364623,-354.7742302926072,,297.0619812011719,986.392578125,663.8049926757812
124,CFD,BF-016,F,4.120481928,2.476190476,-289.95691562496353,-305.1493906931978,,1146.4530029296875,434.0987548828125,758.615966796875
125,CFD,BF-017,F,4.284090909,2.988636364,-301.332472712341,-300.9037195953154,,1062.576171875,354.21685791015625,676.7610473632812
126,CFD,BF-018,F,4.611111111,3.444444444,-278.1040840038495,-275.25991686621035,,555.8265380859375,185.8968505859375,178.5767822265625
127,CFD,BF-019,F,4.010989011,2.615384615,-299.3333791875955,-328.5327425231279,,782.3570556640625,208.41749572753906,416.7359619140625
128,CFD,BF-020,F,3.446808511,2.64893617,-301.71263882680773,-338.20899137351057,,506.8729553222656,239.099853515625,144.23219299316406
129,CFD,BF-021,F,3.989130435,3.054347826,-311.8761129166787,-352.3170854689615,,435.0829162597656,312.3324279785156,104.67034912109375
130,CFD,BF-023,F,3.911111111,2.857142857,-345.5502996413393,-384.5869147292807,,710.88818359375,73.37252807617188,326.01348876953125
131,CFD,BF-024,F,3.5,2.3,-279.6539520128426,-277.59766982315796,,421.2373046875,318.5345153808594,91.35221099853516
132,CFD,BF-025,F,4.659574468,3.70212766,-337.45810335753083,-384.48746692526345,,102.21342468261719,676.9111328125,354.86663818359375
133,CFD,BF-027,F,4.365591398,3,-299.85795104646286,-315.5179851573486,,76.3554916381836,719.2792358398438,394.22314453125
134,CFD,BF-028,F,4.655913978,3.731182796,-336.34504390760367,-350.6004730196798,,240.4218292236328,499.2197570800781,183.15354919433594
135,CFD,BF-029,F,3.104651163,2.11627907,-282.8066641328196,-293.07080103952944,,141.5293426513672,799.1651000976562,478.533935546875
136,CFD,BF-030,F,4.720430108,3.741935484,-326.1253810729928,-349.35092811469633,,311.6009521484375,445.9954833984375,153.26278686523438
137,CFD,BF-031,F,4.260869565,3.02173913,-329.40895357968805,-335.53677206730003,,413.5343017578125,387.47454833984375,172.83030700683594
138,CFD,BF-032,F,3.652631579,2.357894737,-302.0377677189003,-319.4199178740165,,168.66929626464844,777.4556884765625,459.7231750488281
139,CFD,BF-033,F,3.308510638,2.436170213,-294.2876633037687,-310.3130814377733,,180.63381958007812,571.737060546875,252.42311096191406
140,CFD,BF-034,F,3.164948454,2.237113402,-283.7554292985544,-292.1579961519897,,301.2245178222656,456.7631530761719,162.230712890625
141,CFD,BF-035,F,2.341176471,2.658823529,-339.7081194744424,-392.03995771129337,,535.5427856445312,252.3458709716797,191.41200256347656
142,CFD,BF-036,F,4.460674157,3.719101124,-289.3736989451556,-313.20590668322194,,504.05279541015625,299.42694091796875,187.0518341064453
143,CFD,BF-037,F,4.252873563,2.941176471,-307.51157617804625,-324.1399592251692,,197.48023986816406,821.2919921875,503.4547424316406
144,CFD,BF-038,F,2.924731183,1.892473118,-286.1887587506903,-301.16081450961593,,258.3341064453125,537.8775024414062,243.08920288085938
145,CFD,BF-039,F,4.511111111,3.322222222,-319.28775373281985,-339.0075578889283,,214.79476928710938,628.7611083984375,328.0225830078125
146,CFD,BF-040,F,4.068965517,3.206896552,-297.27341452530743,-301.04453339021006,,193.7659149169922,665.25732421875,356.9613952636719
147,CFD,BF-041,F,4.723404255,4,-300.87990764669746,-319.87348774920247,,124.4585952758789,608.4388427734375,282.1662292480469
148,CFD,BF-042,F,4.522727273,3.738636364,-292.5049074634926,-294.0569240412999,,314.43731689453125,413.5981750488281,101.20518493652344
149,CFD,BF-043,F,4.336956522,3.225806452,-296.2796286982703,-323.45631784401303,,532.9117431640625,240.18014526367188,184.69390869140625
150,CFD,BF-044,F,2.765957447,2.106382979,-307.37462110331967,-333.52222517245946,,401.23846435546875,392.224365234375,165.4419708251953
151,CFD,BF-045,F,3.414893617,2.787234043,-304.37277699629516,-336.5359905767783,,433.306640625,340.4556884765625,140.3440399169922
152,CFD,BF-047,F,3.852272727,2.909090909,-306.38743373923455,-317.04665561693383,,196.37020874023438,530.7897338867188,206.76760864257812
153,CFD,BF-048,F,3.489361702,2.680851064,-323.7659045731185,-342.32065321863854,,259.03106689453125,529.2303466796875,232.4073028564453
154,CFD,BF-049,F,5.212765957,4.446808511,-291.01174812422494,-314.7287964414079,,143.2487030029297,688.594482421875,373.3185729980469
155,CFD,BF-050,F,4.760416667,3.791666667,-327.95096020701146,-382.64373229003564,,434.2360534667969,337.75714111328125,137.65335083007812
156,CFD,BF-051,F,3.195402299,2.137931034,-271.2611487200772,-265.0993952450135,,340.3607482910156,476.4855651855469,216.7719268798828
157,CFD,BF-200,F,2.714285714,1.551724138,-311.26609308866665,-331.98452022303496,,307.7716369628906,436.5418701171875,137.28086853027344
158,CFD,BF-201,F,5,4.16,-274.91609002033755,-273.2045100984238,,264.9808654785156,493.38934326171875,191.25604248046875
159,CFD,BF-202,F,4.033333333,3.066666667,-302.11699163996064,-329.0105601155901,,479.5422058105469,288.4114074707031,147.22447204589844
160,CFD,BF-203,F,4.32,2.48,-297.73824607651545,-316.62433069368626,,333.397216796875,427.37542724609375,144.19873046875
161,CFD,BF-204,F,4.875,4,-291.4291006282134,-300.1462519048835,,407.90155029296875,329.3931579589844,84.81047058105469
162,CFD,BF-205,F,3.714285714,2.607142857,-310.7972453362672,-345.7697733161448,,454.47039794921875,316.0816955566406,139.00692749023438
163,CFD,BF-206,F,3.5,2.321428571,-352.3862004350854,-380.92865267632556,,128.4897918701172,637.4885864257812,316.1895446777344
164,CFD,BF-207,F,4.392857143,3.814814815,-285.3622537632622,-301.39854897008377,,123.56962585449219,713.4158935546875,392.527587890625
165,CFD,BF-208,F,4.433333333,3.366666667,-280.2287897159632,-273.8853204255794,,569.6989135742188,231.82359313964844,219.92262268066406
166,CFD,BF-209,F,3.785714286,2.428571429,-288.54670376405716,-315.59303269724995,,188.5545654296875,561.905029296875,245.14622497558594
167,CFD,BF-210,F,4.962962963,4.074074074,-307.9161482191606,-324.7916414876388,,186.31414794921875,561.0740356445312,241.44827270507812
168,CFD,BF-211,F,3.814814815,2.518518519,-277.5480351216877,-277.89137387946556,,360.4004211425781,375.39630126953125,87.42650604248047
